"Scientific Name","Common Name","Plant URL","Other Common Names","Other Scientific Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Sisyrinchium angustifolium","Narrowleaf Blue-eyed Grass","https://www.npsot.org/posts/native-plant/sisyrinchium-angustifolium/","Narrow-leaf Blue-eyed-grass, Bermuda Blue-eyed Grass, Blue-eyed Grass","Sisyrinchium bermudiana, Sisyrinchium graminoides","Herbaceous","Gulf Coast Prairies and Marshes, High Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Northern Humid Gulf Coastal Prairies, Llano Estacado, Canadian/Cimarron Breaks, Northern Blackland Prairie, Flatwoods","1","1.5","0.5","1","Deciduous","Perennial","Loam, Moist, Well Drained","Sun, Part Shade","Medium","Grassland, Riparian, Woodland","Spring, Summer","Blue","Nectar, Pollen, Seeds","Bees, Birds, Butterflies","Works well in fronts of borders or as edging along paths. The flowers close in the afternoon or evening and open again in the morning. It spreads through rhizomes and self seeding. It tolerates dry conditions, but flower production improves when the soil is kept moist during the blooming season. Native habitat: damp fields, moist meadows and woods, stream banks, swamp edges, sandy meadows, grassy places.","Blooms March-July. Stems form dense clumps with numerous, narrow, light green leaves. Individual, light blue, star shaped flowers, with a yellow center, bloom a few inches above the leaves. The fruit is a dark brown capsule.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SIAN3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Sisyrinchium+angustifolium&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12992&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43240#null, 6) https://www.leavesforwildlife.com/product-page/blue-eyed-grass-sisyrinchium-angustifolium#:~:text=Bloom%20Time:%20May%2DJune.%20Wildlife%20Value:%20Attracts%20a,flies%2C%20and%20spring%20butterflies%2C%20including%20blue%20azures., 7) https://vnps.org/blue-eyed-grass-blooms-for-bees-and-butterflies/"
"Solanum americanum","American Black Nightshade","https://www.npsot.org/posts/native-plant/solanum-americanum/","Common Purple Nightshade, Smallflower Nightshade","Solanum americanum var. nodiflorum, Solanum americanum var. patulum, Solanum caribaeum, Solanum fistulosum, Solanum hermannii, Solanum linnaeanum, Solanum nigrum var. americanum, Solanum nigrum var. virginicum, Solanum nodiflorum, Solanum sodomeum","Subshrub","Gulf Coast Prairies and Marshes","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Northern Humid Gulf Coastal Prairies","1","3","1","3","Deciduous","Annual","Clay, Loam, Moist, Sand, Well Drained","Sun, Part Shade","Low, Medium","Disturbed Areas, Grassland, Woodland","Summer, Fall","Green, White, Yellow","Fruit, Pollen","Bees, Birds","Adaptable to a wide range of growing conditions. WARNING: all parts of the plant are highly toxic to all animals and humans. Not commonly found in commercial nurseries, but may be offered by NPSOT chapter plant sales. Native habitat: disturbed areas, forest, thickets, grasslands, mountain slopes, wastelands, fields. ","Blooms June-September. Erect stems are angular and widely branched, sometimes turning woody, with curved teeth as they age. Pale green leaves are oval to lance-shaped, with a coarsely wavy or toothed margin. Can grow as an annual or short-lived perennial, depending on the region. Produces star-shaped white flowers with a yellow cone-shaped center. The green fruits mature into shiny black berries, containing numerous small seeds.","1) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23344&locationType=County&mapType=Normal  2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565523#null  3) https://www.wildflower.org/plants/result.php?id_plant=SOAM  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solanum+americanum&formsubmit=Search+Terms  5) https://plants.ces.ncsu.edu/plants/solanum-americanum/ 4) https://www.watershednursery.com/nursery/plant-finder/solanum-americanum/  5) https://en.wikipedia.org/wiki/Solanum_americanum"
"Solanum elaeagnifolium","Silverleaf Nightshade","https://www.npsot.org/posts/native-plant/solanum-elaeagnifolium/","Silver-leaf Nightshade, White Horse Nettle, Trompillo, Tomato Weed, Bull Nettle, Purple Nightshade","","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Arid Llano Estacado, Canadian/Cimarron High Plains, Llano Estacado, Rolling Sand Plains, Shinnery Sands, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Semiarid Canadian Breaks, Northern Blackland Prairie, Southern Blackland Prairie","2","3","0.5","1","Deciduous","Perennial","Clay, Dry, Loam, Sand","Sun","Low","Grassland, Savanna","Spring, Summer, Fall","Purple, Violet, White","Nectar","Butterflies","Although considered ""weedy"" by some, it can be an attractive addition to a garden. Deep roots form large patches, that in full bloom are striking. Once established, it needs no supplemental water, although it could increase blooms. Yellow fruit look good in flower arrangements. Not usually sold in plant nurseries but seeds are available commercially. Very common in the wild so they may pop up naturally in your yard.  WARNING: berries and all parts of this plant are poisonous. Native habitat: prairie, meadows, pastures, savannas.","Blooms March-October. This plant has an upright form, with prickly stems. Produces lavender, star-shaped flowers, with yellow centers, in clusters of 5-8. The narrow leaves have wavy edges and are covered with silvery hairs. Small yellow berries have green stripes, turning almost black when ripe, and remaining on the plant for months.","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30429#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23367&locationType=County&mapType=Normal, 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solanum+elaeagnifolium&formsubmit=Search+Terms, 4) https://www.wildflower.org/plants/result.php?id_plant=SOEL"
"Solanum erianthum","Potato Tree","https://www.npsot.org/posts/native-plant/solanum-erianthum/","Potatotree, Potato-Tree, Mullein nightshade, Velvet Nightshade","Solanum erianthum var. adulterinum, Solanum verbascifolium","Tree","Gulf Coast Prairies and Marshes","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley","6","12","6","12","Evergreen","Perennial","Limestone, Sand, Well Drained","Sun, Part Shade","Low, Medium","Disturbed Areas, Grassland, Riparian, Woodland","Spring, Summer, Fall","White","Fruit","Birds","Drought tolerance is high, does not require any supplemental water once established. Primarily recommended for natural landscapes and habitat restorations.  It is a pioneer species quickly colonizing forest gaps caused by treefall, and is able to grow on degraded sites prior to other vegetation. Needs lot of room spread in the landscape. WARNING: the leaves, stems and roots contain various alkaloids and are poisonous to humans, causing headache, cramps, and nausea. Native habitat: variable, including riparian zones, dry forests, and moist forests. It often grows in disturbed areas, such as roadsides, fields,","Blooms January-December. A fast-growing evergreen shrub or small tree, The crown is flat-topped and spreading. The wood is soft and brittle, The bark is greyish-brown, and smooth, becoming rough with age and bearing many wart-like projections. The leaves are oval to elliptical. All parts of the plant are covered in dense hairs and  release an odor similar to tar when rubbed. White flowers are arranged in flat-toped clusters. The fruit is a small, yellow berry with many seeds. Broken roots smell like cooked potatoes. ","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30430#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23356&locationType=County&mapType=Normal,  3) https://www.wildflower.org/plants/result.php?id_plant=SOER2,  4) https://en.wikipedia.org/wiki/Solanum_erianthum  5) https://tropical.theferns.info/viewtropical.php?id=Solanum+erianthum  6) https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=751  7) https://regionalconservation.org/beta/nfyn/plantdetail.asp?tx=Solaeria#:~:text=Wildlife%20and%20Ecology:%20Provides%20food,from%20seed%20and%20root%20cuttings.  8) https://grokipedia.com/page/Solanum_erianthum"
"Solanum triquetrum","Texas Nightshade","https://www.npsot.org/posts/native-plant/solanum-triquetrum/","Hierba Mora  ","","Herbaceous, Vine","Chihuahuan Deserts, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Floodplains and Low Terraces, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Northern Blackland Prairie, Southern Blackland Prairie","1","2","2","3","Semi Evergreen","Perennial","Dry, Rocky","Sun","Medium, High","Grassland, Woodland","Spring, Summer, Fall","Violet, White","Fruit","Birds","This highly variable species is commonly 1-2 feet tall, but sometimes becomes a semi-climbing shrub up to 7. Not commonly found in commercial nurseries, but may be offered by NPSOT chapter plant sales. WARNING: berries toxic to humans. Native habitat: fencerows, rock outcrops, brush areas and woodlands. ","Blooms January-December. Upright, clump forming. Sometimes vining. Stems have ridges giving a three cornered feel. Sparsely hairy leaves are narrowly triangular, sometimes with small basal lobes. Produces small star-shaped, white or tinged violet flowers with 5 petals. The fruit is a bright red, many seeded, berry less than 1/2"" diameter.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30462#null  2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23400&locationType=County&mapType=Normal  3) https://www.wildflower.org/plants/result.php?id_plant=SOTR2 4) Range Plants of North Central Texas, A Land User;s Guide to Their Identificaiton, Value and Management; Rickey J. Linex, 2014; USDA Batural Resources Conservation Service; p. 159  5) https://w3.biosci.utexas.edu/prc/K12/pages/Solanum%20triquetrum.html  6) http://www.texaswildbuds.com/solanum-triquetrum.html#:~:text=Habitat:%20Generally%20dry%20soils;%20fencerows,to%203/8%20in%20diameter."
"Solidago altissima","Tall Goldenrod","https://www.npsot.org/posts/native-plant/solidago-altissima/","Canada Goldenrod, Late Goldenrod, Canadian Goldenrod","Solidago altissima var. altissima, Solidago altissima var. pluricephala, Solidago altissima var. procera, Solidago canadensis var. scabra, Solidago hirsutissima, Solidago lunellii","Herbaceous","Chihuahuan Deserts, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Chihuahuan Basins and Playas, Low Mountains and Bajadas, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Northern Humid Gulf Coastal Prairies, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","3","6","2","3","Deciduous","Perennial","Caliche, Clay, Dry, Loam, Moist, Sand","Sun, Part Shade","Medium","Disturbed Areas, Grassland, Woodland","Summer, Fall","Yellow","Larval Host, Nectar, Pollen, Seeds","Bees, Birds, Butterflies, Beetles, Nectar Insects","Height is determined mostly by the fertility and moisture content of the soil. This plant will tolerate some drought, but may drop some of its lower leaves. It also tolerates a variety of soils, seeming to prefer a heavier soil with some clay content. The root system is fibrous, producing creeping rhizomes that spread and form colonies, therefore give lots of space. Canadian Goldenrod produces allelopathic compounds that suppress the growth of other plants and therefore can crowd them out. A patch of goldenrod can be beautiful addition to your garden if you have the space. Although goldenrod is often blamed for hay fever because it is in bloom during that season, ragweed is actually the cause. Native habitat: dry to moist roadsides, thickets, prairies, open woods, disturbed habitats.

","Blooms August-November. Tall, erect, rough stems that occur singularly or in clusters. Lance shaped leaves become smaller towards the top of the plant. The short hairs on the leaves give a gray-green tone. The small, yellow flowers are arranged along the upper side of branches, forming a feathery, plume-shaped inflorescence. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus. Larval host: Wavy-lined Emerald (Synchlora aerata), Goldenrod Gall Fly (Eurosta solidaginis) and the Goldenrod Bunch Gall Midge (Rhopalomyia solidaginis).","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SOAL6. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+altissima&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4430&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36228#null, 6) https://plants.ces.ncsu.edu/plants/solidago-altissima/, 7) https://seedsource.com/tall-goldenrod/  8) https://plants.ces.ncsu.edu/plants/solidago-altissima/#:~:text=This%20plant%20supports%20Wavy%2Dlined,used%20by%20stem%2Dnesting%20bees.  9) https://en.wikipedia.org/wiki/Solidago_altissima#:~:text=Ducking%20has%20been%20found%20to,galls%20formed%20by%20these%20herbivores."
"Solidago caesia","Blue-stemmed Goldenrod","https://www.npsot.org/posts/native-plant/solidago-caesia/","Wreath Goldenrod, Bluestem Goldenrod","Solidago axillaris, Solidago caesia var. axillaris, Solidago caesia var. caesia","Herbaceous","Western Gulf Coastal Plain","Flatwoods, Floodplains and Low Terraces, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands","1","3","1","3","Deciduous","Perennial","Dry, Loam","Sun, Part Shade","Low, Medium","Grassland","Fall","Yellow","Larval Host, Nectar, Pollen, Seeds","Bees, Birds, Butterflies, Moths","Shade tolerant. No serious disease or insect problems. Some of the lower leaves may dry up in the heat of the summer. Provides great fall color. Does not spread as much as other goldenrods. Native habitat: deciduous or open woods, wood borders, and clearings.","Blooms August-October. A relatively small goldenrod with smooth purplish, arching stems and long, narrow leaves. Scattered clusters of yellow flower heads appear in the leaf axils, with a large terminal cluster. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus. Larval host: Wavy-lined Emerald (Synchlora aerata), Green Leuconycta Moth (L. diphteroides), Goldenrod Hooded Owlet Moth (C. asteroides).","1) https://www.illinoiswildflowers.info/woodland/plants/bl_goldenrod.htm, 2) https://www.wildflower.org/plants/result.php?id_plant=SOCA4, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36238#null, 4) http://bonap.net/MapGallery/County/Solidago%20caesia.png, 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+caesia&formsubmit=Search+Terms  6) https://plants.ces.ncsu.edu/plants/solidago-caesia/#:~:text=This%20plant%20supports%20Wavy%2Dlined,Colletes%20simulans%2C%20and%20Colletes%20solidaginis.  7) https://riwps.org/uncategorized/blue-stemmed-goldenrod-solidago-caesia/#:~:text=Habitat%20Value:%20Attracts%20various%20pollinators,asteroides)."
"Solidago nemoralis","Prairie Goldenrod","https://www.npsot.org/posts/native-plant/solidago-nemoralis/","Gray Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod","","Herbaceous","Cross Timbers, Texas Blackland Prairies","Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie","1","2","0.5","2","Deciduous","Perennial","Sand, Loam, Clay, Rocky, Caliche, Dry","Sun, Part Shade","Medium","Grassland, Woodland","Summer, Fall","Yellow","Seeds, Nectar, Pollen, Larval Host","Butterflies, Birds, Nectar Insects, Moths, Bees","This is a rhizomatous, spreading, that can colonize an area by creeping rhizomes and self-seeding. An under-utilized species that grows shorter it tends to spread at little less than the more common tall goldenrod. It tolerates drought and dry rocky or sandy soils but prefers dry to medium, well-drained, soil in full sun. The plants generally grow taller and more vigorously in rich soils. It tolerates light shade, but does not do well in full shade. Works well in a low wildflower meadow, sunny garden, as a cut flower, pollinator garden. Native habitat: dry, open woods, upland prairies.","Blooms June-October. Clumps of slender, gray-downy stems, with narrow, coarsely-toothed leaves. Small flowers form one-sided, yellow plumes at the tips of stems that arch outward. Each flowers develops into a single seed fruit. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus. Larval host: Wavy-lined Emerald (Synchlora aerata) larvae.","1) https://www.wildflower.org/plants/result.php?id_plant=SONE. 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+nemoralis&formsubmit=Search+Terms. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4411&locationType=County&mapType=Normal, 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36281#null, 5) https://seedsource.com/prairie-goldenrod/  6) https://plants.ces.ncsu.edu/plants/solidago-nemoralis/"
"Solidago nitida","Shiny Goldenrod","https://www.npsot.org/posts/native-plant/solidago-nitida/","","Oligoneuron nitidum","Herbaceous","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Northern Humid Gulf Coastal Prairies, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","2","3","1","2","Deciduous","Perennial","Well Drained","Sun","Medium","Grassland, Woodland","Summer, Fall","Yellow","Forage, Nectar, Pollen, Seeds","Bees, Birds, Browsers, Butterflies, Small Mammals","Shiny Goldenrod provides a perfect landing platform for pollinators while they enjoy its rich nectar and pollen. Unlike many of the Goldenrods this is a true clump forming perennial that stays where you put it. It gets the name Shiny Goldenrod from its shiny foliage. A good option if you're seeking something heat tolerant and humidity tolerant. Easy to grow and with few apparent pest or disease problems, Shiny Goldenrod is also a good candidate for natural areas, meadows, and roadsides where it will readily reseed on exposed soils. Native habitat: dry upland prairie and pine woods, open sandy places.","Blooms July-October. Narrow leaves are hairless and shiny, found both at the base of the plant and higher up on the stem. One plant can produce as many as 100 small yellow flower heads in a compact, flat-topped array.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36282#null  2) https://www.wildflower.org/plants/result.php?id_plant=OLNI  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4412&locationType=County&mapType=Normal  4) https://en.wikipedia.org/wiki/Solidago_nitida  5) https://warcapps.usgs.gov/PlantID/Species/Details/3078  5) https://mtcubacenter.org/trials/solidago/solidago-nitida/  6) https://plantlust.com/plants/50644/solidago-nitida/  7) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+nitida&formsubmit=Search+Terms"
"Solidago rigida","Stiff Goldenrod","https://www.npsot.org/posts/native-plant/solidago-rigida/","Hard-leaf Goldenrod","Oligoneuron rigidum","Herbaceous","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Northern Post Oak Savanna, Northern Prairie Outliers, Northern Humid Gulf Coastal Prairies, Flatwoods, Floodplains and Low Terraces, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","1","3","0.5","1","Deciduous","Perennial","Calcareous, Dry, Moist, Sand","Sun","Low, Medium, High","Grassland, Woodland","Summer, Fall","Yellow","Forage, Larval Host, Nectar, Pollen, Seeds","Bees, Birds, Browsers, Butterflies, Beetles, Moths","Low maintenance. Plants are tough and adaptable.  Sometimes develops red fall color. In rich moist sites, this species may flop over or prolifically reseed. If self-sowing is a problem, spent flowers should be removed before the seeds ripen. This species is relatively pest free, except for occasional powdery mildew. Works well for butterfly gardens, restoration projects, meadows. mass plantings. Not common in plant nurseries but seeds are available commercially. Native habitat: prairies and dry woods.","Blooms August-October. The plant is tall and coarse with branched, hairy stems. Leaves are lance shaped or elliptical. They are soft gray-green with smooth or toothed margins and a wedge shaped base. Forms a dense, rounded or flat-topped, terminal cluster of dark yellow, bell-shaped flowers The fruit is a cypsela: angular seeds crowned by tufts of hair. Larval host: Brown-hooded Owlet Moth, Asteroid Moth, Wavy-Lined Emerald Moth, Green Leuconycta Moth.
","1) https://seedsource.com/stiff-goldenrod/, 2) https://newmoonnursery.com/nursery-plants/solidago-rigida/#:~:text=FIRST%20IMPRESSIONS:%20Solidago%20rigida%20is,oval%20with%20bluntly%20rounded%20tips., 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36297#null, 4) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4398&locationType=County&mapType=Normal, 5) https://www.wildflower.org/plants/result.php?id_plant=OLRI, 6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+rigida&formsubmit=Search+Terms  7) https://www.leavesforwildlife.com/product-page/stiff-leaved-goldenrod-solidago-rigida#:~:text=Attracts%20a%20wide%20variety%20of,song%20birds%20eat%20the%20seeds.  9) https://kb.jniplants.com/stiff-goldenrod-solidago-rigida  10) https://www.prairienursery.com/stiff-goldenrod-solidago-rigida.html?srsltid=AfmBOoo1WsqPHA9NoFstnn7GPQTgQzF-2jeKxgLssj8qkYm8AVrLEebw"
"Solidago rugosa","Wrinkleleaf Goldenrod","https://www.npsot.org/posts/native-plant/solidago-rugosa/","","","Herbaceous","Western Gulf Coastal Plain","Flatwoods, Floodplains and Low Terraces, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","2","5","2","5","Deciduous","Perennial","Clay, Loam, Moist, Sand","Sun","Medium","Grassland, Woodland","Summer, Fall","Yellow","Pollen, Seeds","Bees, Birds","The plant occurs in clumps and spreads by rhizomes. Grows in a variety of soils Native habitat: low woods, meadows, old fields, pine barrens; bogs. No other information available at this time.","Blooms August-November. Highly variable form. Tall, rough, hairy stem bears divergent, or arching, branches with small, light yellow flower heads concentrated on the upper side. Sprays of arching flowering stems occur at the top of erect stems. The numerous, narrow, toothed leaves are rough-surfaced.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36299#null  2) https://www.wildflower.org/plants/search.php?search_field=Rough-leaved+Goldenrod&family=Acanthaceae&newsearch=true&demo=.  3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+rugosa&formsubmit=Search+Terms  4) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4401&locationType=County&mapType=Normal"
"Solidago sempervirens","Seaside Goldenrod","https://www.npsot.org/posts/native-plant/solidago-sempervirens/","","","Herbaceous","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Floodplains and Low Terraces, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Flatwoods","2","8","1","2","Evergreen","Perennial","Loam, Moist, Saline, Sand, Well Drained","Sun","Low, Medium","Disturbed Areas, Grassland, Sand Dunes & Beaches, Wetland","Summer, Fall","Yellow","Larval Host, Nectar, Pollen","Bees, Butterflies, Moths, Nectar Insects","Pinch the growing tips in June if a more compact plant is desired. Does not spread by rhizomes like other goldenrod. It is resistant to salt spray. Use in dune restoration, as wildlife habitat and in pollinator gardens. Leave stems throughout winter for wildlife. Native habitat: saline places along the coast, sand dunes, tidal marshes, grassland, disturbed sites.","Blooms August-December. Produces a tight clump of narrow, evergreen basal leaves from which long, arching stalks grow. Leaves are somewhat succulent. Deep yellow flowers arranged in one-sided clusters. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus. Larval host: Wavy-lined Emerald (Synchlora aerata).","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SOSE. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+sempervirens&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4355&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36226#null  6) https://plants.ces.ncsu.edu/plants/solidago-sempervirens/#:~:text=This%20plant%20supports%20Wavy%2Dlined,Colletes%20simulans%2C%20and%20Colletes%20solidaginis.  7) https://www.prairiemoon.com/solidago-sempervirens-seaside-goldenrod  8) https://mellowmarshfarm.com/catalog/solidago-sempervirens/  9) https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?Species_ID=2710  10) https://houstonaudubon.org/conservation/bfc/nativeplants/gallery/seaside-goldenrod.html"
"Solidago tortifolia","Twistleaf Goldenrod","https://www.npsot.org/posts/native-plant/solidago-tortifolia/","Twistedleaf Goldenrod","","Herbaceous","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Northern Humid Gulf Coastal Prairies, Flatwoods, Floodplains and Low Terraces, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","1","4","1","2","Deciduous","Perennial","Dry, Loam, Rocky, Sand, Well Drained","Sun, Part Shade","Low","Grassland, Savanna, Woodland","Summer, Fall","Yellow","Flowers, Pollen","Bees","Low maintenance. Landscaping uses: flower arrangements, borders, informal, wildlife, pocket prairie, pollinator garden. Native habitat: pine barrens and savannas, usually sandy soil.

","Blooms August - November. An erect, perennial herb, with a woody underground caudex or rhizomes. Linear to lance-shaped leaves spiral around the stem like a propeller. Small yellow flower heads arranged in a large, branching array at the top of the plant.
","1) https://www.wildflower.org/plants/result.php?id_plant=SOTO2 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&amp;search_value=36316#null 3) https://bonap.net/TDC/Image/Map?taxonType=Species&amp;taxonId=4345&amp;locationType=County&amp;mapType=Normal 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+tortifolia&amp;formsubmit=Search+Terms 5) https://warcapps.usgs.gov/PlantID/Species/Details/3790   6) https://en.wikipedia.org/wiki/Solidago_tortifolia  7) https://fsus.ncbg.unc.edu/main.php?pg=show-taxon.php&plantname=solidago+tortifolia  8) https://uwaterloo.ca/astereae-lab/research/goldenrods/classification-and-illustrations/solidago-tortifolia  9) https://www.shootgardening.com/plants/solidago-tortifolia  10) https://littleredwagonnativenursery.com/products/twistleaf-goldenrod-solidago-tortifolia-1-gal"
